iter	Passed	Remaining
878	1676	230
879	1678	228
880	1679	226
881	1681	224
882	1682	222
883	1684	221
884	1685	219
885	1686	217
886	1688	215
887	1689	213
888	1691	211
889	1692	209
890	1694	207
891	1695	205
892	1697	203
893	1698	201
894	1700	199
895	1701	197
896	1703	195
897	1704	193
898	1706	191
899	1707	189
900	1709	187
901	1710	185
902	1711	183
903	1713	181
904	1714	179
905	1716	178
906	1717	176
907	1718	174
908	1720	172
909	1722	170
910	1723	168
911	1724	166
912	1726	164
913	1727	162
914	1729	160
915	1730	158
916	1732	156
917	1733	154
918	1735	152
919	1737	151
920	1738	149
921	1740	147
922	1741	145
923	1743	143
924	1744	141
925	1745	139
926	1747	137
927	1748	135
928	1750	133
929	1752	131
930	1754	130
931	1756	128
932	1757	126
933	1758	124
934	1760	122
935	1761	120
936	1763	118
937	1764	116
938	1766	114
939	1768	112
940	1769	110
941	1771	109
942	1772	107
943	1774	105
944	1775	103
945	1777	101
946	1778	99
947	1780	97
948	1782	95
949	1784	93
950	1785	92
951	1787	90
952	1788	88
953	1789	86
954	1791	84
955	1792	82
956	1794	80
957	1796	78
958	1798	76
959	1799	74
960	1801	73
961	1803	71
962	1804	69
963	1805	67
964	1807	65
965	1808	63
966	1810	61
967	1812	59
968	1814	58
969	1816	56
970	1818	54
971	1819	52
972	1820	50
973	1822	48
974	1823	46
975	1825	44
976	1826	42
977	1827	41
978	1829	39
979	1830	37
980	1832	35
981	1833	33
982	1834	31
983	1836	29
984	1838	27
985	1839	26
986	1841	24
987	1842	22
988	1844	20
989	1845	18
990	1847	16
991	1848	14
992	1850	13
993	1851	11
994	1853	9
995	1855	7
996	1856	5
997	1858	3
998	1859	1
999	1861	0
